Pm,ΔH,ΔS,Ω,ρ,e/a,EWF,α,HD,B,G,ad-e/n,ad-r,ad-α,ad-HD,ad-G,δ-VEC,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SLHF,δ-α,δ-HD,δ-G,δ-υ,δ-G/B,Phase
1,-4.5572,12.7076,6.8217,8.6012,1.8235,4.2941,8.9882,90.5294,154.6176,44.8706,0.0537,4.4448,2.2893,28.2076,13.7689,0.1266,0.3846,0.2586,0.5553,0.032,0.2812,0.245,0.0065,0.2017,0.1876,0.4329,0.3829,0.3671,0.0734,0.2275,BCC
2,-12.0726,12.9758,1.8775,6.6017,2,4.5517,13.9333,94.1668,155.6502,76.8835,0.0528,8.1633,6.4444,63.889,31.7889,0.4194,0.2647,0.3937,0.4413,0.11,0.4082,0.2623,0.0643,0.2702,0.3688,0.532,0.8107,0.4813,0.1428,0.2457,BCC
1,-11.0743,11.8082,1.7052,7.1507,2.125,4.4515,16.6144,226.0096,143.3183,71.9077,0.0324,6.8596,4.9738,173.8785,14.416,0.2823,0.1447,0.1773,0.2616,0.0871,0.1556,0.179,0.0806,0.2435,0.2109,0.3058,0.8503,0.2727,0.1394,0.213,IM
4,2.7475,13.381,8.3729,8.078,1.6,4.58,13.94,171,154.4,80.9,0.0427,3.2928,4.208,131.6,14.6,0.2208,0.1517,0.1627,0.0898,0.0801,0.3062,0.1466,0.0739,0.1765,0.1603,0.3696,0.9825,0.2635,0.1726,0.2552,BCC+FCC
2,-21.8715,14.5318,1.072,6.1029,2.1429,4.5771,14.6428,92.5713,140.6284,57.3285,0.0536,9.5428,5.1184,62.2448,30.6326,0.4388,0.2179,0.2802,0.4175,0.0804,0.2981,0.1231,0.0718,0.2454,0.3384,0.4179,0.8457,0.5728,0.1938,0.417,IM
2,-21.2654,14.7843,1.1581,6.3646,2.0769,4.6,13.9538,98.5384,145.346,59.4922,0.0549,9.3169,4.4521,63.3608,30.9917,0.4146,0.2197,0.2559,0.3859,0.081,0.2963,0.1155,0.0718,0.23,0.3173,0.4159,0.7927,0.5564,0.2014,0.4298,IM
2,-14.0157,14.541,2.2363,7.1467,1.6,4.408,10.32,103.9999,162.0732,66.0199,0.0633,7.9474,4.1333,51.9999,34.5013,0.2901,0.3467,0.2922,0.328,0.1139,0.4449,0.2958,0.0267,0.2129,0.2718,0.5506,0.6107,0.5657,0.1951,0.4233,IM
1,-2.4587,13.2541,13.3973,8.7664,1.5455,4.2691,6.7727,146.9091,166.5818,54.3364,0.0327,8.3385,1.438,55.9339,37.8347,0.1824,0.3325,0.1483,0.3332,0.2064,0.3222,0.1337,0.0594,0.2216,0.2941,0.2626,0.4409,0.7921,0.1255,0.4105,BCC
2,-12.3275,12.6758,1.9778,7.602,1.6667,4.7173,10.3867,109.0665,166.5398,79.7133,0.0539,4.9528,2.8409,49.2976,25.5271,0.2804,0.2077,0.1001,0.1865,0.0769,0.2828,0.0549,0.0679,0.118,0.1834,0.3034,0.5759,0.4041,0.253,0.4197,BCC+FCC
1,-5.4717,11.6121,3.9474,7.9885,1.9,4.6925,11.465,132.15,172.69,77.955,0.0297,1.2875,1.686,42.005,13.122,0.1909,0.1387,0.0883,0.105,0.051,0.1579,0.0711,0.0666,0.0549,0.12,0.1991,0.4087,0.2454,0.1567,0.2759,FCC
2,-5.3989,6.4198,1.8159,7.3933,2.0495,4.2252,20.497,424.9009,130.6287,74.1535,0.0141,2.7496,2.2367,120.4559,7.7928,0.1711,0.0832,0.1064,0.1557,0.0719,0.1058,0.1636,0.0704,0.2152,0.1252,0.1556,0.3681,0.1784,0.1634,0.1933,BCC+FCC
2,-4.4042,12.4506,5.6673,8.167,1.5556,4.7204,9.8778,137.0369,180.5924,89.5518,0.0497,1.5821,3.4321,61.5226,23.5391,0.21,0.2034,0.1591,0.1142,0.0783,0.3194,0.1536,0.0587,0.0831,0.1509,0.3565,0.513,0.3126,0.2441,0.3649,IM
